"FileName","FileType","IsUsed","UsageCount","FoundInFiles","FileSize"
"404-main-image.jpg",".jpg","True","1","main-404.liquid","74.33"
"base.css",".css","True","2","password.liquid; theme.blank.liquid","53.79"
"buy-box-deposit.js",".js","True","1","buy-box-deposit.liquid","38.18"
"buy-box-new.js",".js","True","2","buy-box-multi.liquid; buy-box-subscription-5.liquid","54.06"
"buy-box.js",".js","True","3","buy-box-subscription-4-optimized.liquid; theme.liquid; theme.lps.liquid","43"
"collage.css",".css","True","1","collage.liquid","5.08"
"collapsible-content.css",".css","True","1","collapsible-content.liquid","2.63"
"curalin-capsule-mobile.png",".png","True","1","curalin-capsule-benefits.liquid","93.49"
"curalin-capsule.png",".png","True","1","curalin-capsule-benefits.liquid","185.87"
"customer.css",".css","True","4","b2b-register.liquid; main-account.liquid; main-addresses.liquid; main-order.liquid","13.05"
"digital-7.ttf",".ttf","False","0","","33.55"
"disclosure.css",".css","True","2","footer-original.liquid","1.25"
"DMSans-Bold.ttf",".ttf","True","1","layout.head.fonts.liquid","70.17"
"DMSans-Bold.woff2",".woff2","True","1","layout.head.fonts.liquid","28.82"
"DMSans-BoldItalic.woff2",".woff2","False","0","","30.19"
"DMSans-Italic.woff2",".woff2","False","0","","30.12"
"DMSans-Medium.ttf",".ttf","True","1","layout.head.fonts.liquid","70.08"
"DMSans-Medium.woff2",".woff2","True","1","layout.head.fonts.liquid","28.82"
"DMSans-MediumItalic.woff2",".woff2","True","1","layout.head.fonts.liquid","30.11"
"DMSans-Regular.ttf",".ttf","True","1","layout.head.fonts.liquid","70.31"
"DMSans-Regular.woff2",".woff2","True","1","layout.head.fonts.liquid","28.95"
"ellipse.svg",".svg","True","37","page.affiliates-store-checkout.json; page.affiliates.json; page.summer-body-lp.json","0.25"
"global-bundle.js",".js","True","5","password.liquid; theme.liquid; theme.lps.liquid","21.5"
"icon-1.png",".png","True","2","curalin-capsule-benefits.liquid; refer-friend.liquid","1.89"
"icon-2.png",".png","True","2","curalin-capsule-benefits.liquid; refer-friend.liquid","1.93"
"icon-3.png",".png","True","2","curalin-capsule-benefits.liquid; refer-friend.liquid","5.83"
"icon-capsule.svg",".svg","True","1","product-supplement-pack-info.liquid","1.57"
"ingredients-1.png",".png","True","1","product.d2c-product.json","90.04"
"ingredients-2.png",".png","True","1","product.d2c-product.json","87.74"
"ingredients-3.png",".png","True","1","product.d2c-product.json","87.12"
"ingredients-4.png",".png","True","1","product.d2c-product.json","79.27"
"ingredients-5.png",".png","True","1","product.d2c-product.json","88.25"
"ingredients-6.png",".png","True","1","product.d2c-product.json","73.59"
"ingredients-7.png",".png","True","1","product.d2c-product.json","86.58"
"ingredients-8.png",".png","True","1","product.d2c-product.json","104.79"
"ingredients-9.png",".png","True","1","product.d2c-product.json","89.84"
"logo-new-curalin.svg",".svg","False","0","","2.23"
"logo-new.svg",".svg","True","5","blog-card-grid.liquid; footer.liquid; related-articles.liquid; svg-fill.liquid","2.46"
"meta-thumbnail.png",".png","True","2","article.liquid; layout.head.meta-tags.liquid","5.94"
"newsletter-section.css",".css","True","2","email-signup-banner.liquid; newsletter.liquid","0.91"
"notifications-bundle.js",".js","False","0","","0.24"
"notifications.css",".css","True","36","buy-box-multi.liquid; notifications-bundle.js; notifications.css; product-cta-section-actions-2024-new-4-gift.liquid; product-cta-section-actions-2024-new-gift-two.liquid; product-cta-section-actions-2024-new-gift.liquid; product-cta.liquid; quiz-section.liquid; quiz.js","25.94"
"PPRadioGrotesk-Bold.otf",".otf","True","1","layout.head.fonts.liquid","95.79"
"PPRadioGrotesk-Bold.woff2",".woff2","True","1","layout.head.fonts.liquid","46.56"
"PPRadioGrotesk-Light.otf",".otf","True","1","layout.head.fonts.liquid","28.28"
"PPRadioGrotesk-Regular.otf",".otf","True","1","layout.head.fonts.liquid","29.02"
"product-aio-product-video-thumbnail.png",".png","False","0","","376"
"product-bundle.js",".js","True","6","featured-collection.liquid; featured-product.liquid; main-collection-product-grid.liquid; main-product.liquid; wholesale-products.liquid","30.5"
"product-placeholder.svg",".svg","True","1","account-orders.liquid","0.62"
"pubmed-logo-blue.png",".png","True","1","meet-curalin-section.liquid","2.05"
"quick-add.css",".css","True","3","featured-collection.liquid; main-collection-product-grid.liquid; main-product.liquid","4.77"
"quiz.css",".css","True","1","quiz-section.liquid","40.7"
"quiz.js",".js","True","1","quiz-section.liquid","137.54"
"rebranding-community-swoosh-1.png",".png","True","1","community-what-is.liquid","1.11"
"rebranding-community-swoosh-2.png",".png","True","1","community-what-is.liquid","1.25"
"rebranding-community-swoosh-3.png",".png","True","1","community-what-is.liquid","1.05"
"rebranding-winning-type-2-mb.png",".png","True","1","taste-winning-type.liquid","784"
"rebranding-winning-type-2.png",".png","True","1","taste-winning-type.liquid","1026.51"
"rebrending-big-swoosh.png",".png","True","1","community-what-is.liquid","8.37"
"rebrending-leaf-swoosh.png",".png","True","1","community-what-is.liquid","1.88"
"rebrending-swoosh-text.png",".png","False","0","","16.27"
"search-bundle.js",".js","True","2","main-collection-product-grid.liquid; main-search.liquid","20.15"
"section-blog-post.css",".css","False","0","","3.27"
"section-collection-list.css",".css","True","1","main-list-collections.liquid","1.15"
"section-contact-form.css",".css","True","1","contact-form.liquid","0.59"
"section-email-signup-banner.css",".css","True","1","email-signup-banner.liquid","2.63"
"section-featured-blog.css",".css","True","2","featured-blog.liquid","1.56"
"section-featured-product.css",".css","True","1","featured-product.liquid","1.45"
"section-image-banner.css",".css","True","3","email-signup-banner.liquid; image-banner.liquid; slideshow.liquid","9.1"
"section-main-blog.css",".css","True","1","main-blog.liquid","2.17"
"section-main-page.css",".css","True","4","main-page.liquid; page.liquid","0.32"
"section-main-product.css",".css","True","2","featured-product.liquid; main-product.liquid","33.89"
"section-multicolumn.css",".css","True","1","multicolumn.liquid","4.55"
"section-password.css",".css","True","1","password.liquid","5.93"
"section-related-products.css",".css","True","1","related-products.liquid","0.1"
"section-rich-text.css",".css","True","2","rich-text.liquid","1.43"
"stagewise-toolbar.css",".css","True","1","developer-tools.liquid","46.02"
"star.svg",".svg","True","1","curaslim-2024-hero.liquid","0.76"
"tailwind.css",".css","True","1","theme.blank.liquid","93.92"
"tailwind.min.css",".css","True","2","theme.liquid; theme.lps.liquid","72.4"
"template-collection.css",".css","True","4","featured-collection.liquid; main-collection-product-grid.liquid; main-search.liquid","1.48"
"template-giftcard.css",".css","False","0","","8.65"
"thank-you-image.png",".png","True","1","refer-friend.liquid","95.71"
"video-section.css",".css","True","9","video-section.css; video.liquid","0.67"
"winning-type-big-swoosh.png",".png","True","1","taste-winning-type.liquid","8.39"
"winning-type-leaf-swoosh.png",".png","True","1","taste-winning-type.liquid","3"
