"Name","Path","IsInBuild","IsDirectlyUsedInTemplates","IsIncludedByUsedSections","TemplateUsageCount","IncludedByCount","IsLikelyDeprecated","DeprecationReason","IsActuallyUsed"
"disorders-box","src/liquid/sections/disorders-box.liquid","True","True","False","3","0","False","","True"
"featured-on-section","src/liquid/sections/featured-on-section.liquid","True","True","False","6","0","False","","True"
"ingredients-section","src/liquid/sections/ingredients-section.liquid","True","True","False","2","0","False","","True"
"product-catalog","src/liquid/sections/product-catalog.liquid","True","True","False","1","0","False","","True"
"success-story-section","src/liquid/sections/success-story-section.liquid","True","True","False","1","0","False","","True"
"tabs-box","src/liquid/sections/tabs-box.liquid","True","True","False","1","0","False","","True"
"testimonials-section","src/liquid/sections/testimonials-section.liquid","True","True","False","4","0","False","","True"
"vsl-html","src/liquid/sections/vsl-html.liquid","True","False","False","0","0","False","","False"
"redirect-to","src/liquid/sections/Actions/redirect-to.liquid","True","True","False","1","0","False","","True"
"accordion","src/liquid/sections/components/accordion.liquid","True","True","False","2","0","False","","True"
"breadcrumbs","src/liquid/sections/components/breadcrumbs.liquid","True","False","False","0","0","False","","False"
"button-section","src/liquid/sections/components/button-section.liquid","True","True","False","26","0","False","","True"
"collections-catalog","src/liquid/sections/components/collections-catalog.liquid","True","False","False","0","0","False","","False"
"comments","src/liquid/sections/components/comments.liquid","True","True","False","2","0","False","","True"
"curalin-ingredients-section","src/liquid/sections/components/curalin-ingredients-section.liquid","True","True","True","1","1","False","","True"
"custom-code","src/liquid/sections/components/custom-code.liquid","True","True","False","14","0","False","","True"
"customer-reviews-2","src/liquid/sections/components/customer-reviews-2.liquid","True","False","False","0","0","False","","False"
"customer-reviews-3","src/liquid/sections/components/customer-reviews-3.liquid","True","True","False","7","0","False","","True"
"customer-reviews-4","src/liquid/sections/components/customer-reviews-4.liquid","True","True","False","14","0","False","","True"
"customer-reviews","src/liquid/sections/components/customer-reviews.liquid","True","True","False","2","0","False","","True"
"faq","src/liquid/sections/components/faq.liquid","True","True","False","49","0","False","","True"
"footer","src/liquid/sections/components/footer.liquid","True","True","False","7","0","False","","True"
"frequently-bought-together","src/liquid/sections/components/frequently-bought-together.liquid","True","True","False","2","0","False","","True"
"hero-banner","src/liquid/sections/components/hero-banner.liquid","True","True","False","4","0","False","","True"
"hero-slider","src/liquid/sections/components/hero-slider.liquid","True","True","False","1","0","False","","True"
